category_en,orders,customers,products_sold,sellers,units,product_revenue,freight_revenue,gmv,avg_item_price,avg_weight_g,delivered_units,avg_review_score,avg_delivery_days,late_rate,rated_units,negative_review_rate,freight_ratio,pct_of_revenue,cumulative_pct
fixed_telephony,209,209,110,48,256,57119.33,4520.27,61639.6,223.1223828125,562.38671875,250,3.74,12.508,0.04,250,0.24,0.07333386329567357,0.004246938841656209,0.9486452168638211
air_conditioning,246,244,121,51,285,53016.07,6515.59,59531.66,186.02129824561405,4065.4842105263156,281,3.98576512455516,11.665480427046264,0.03914590747330961,281,0.1708185053380783,0.10944747719112821,0.0039418530804714354,0.9525870699442925
audio,347,346,56,36,361,50511.61,5676.62,56188.229999999996,139.92135734072022,1226.7008310249307,360,3.818941504178273,13.283333333333333,0.11666666666666667,360,0.21727019498607242,0.10102863179708634,0.0037556413645536487,0.9563427113088462
small_appliances_home_oven_and_coffee,75,75,31,15,76,47445.71,2747.86,50193.57,624.2856578947368,5074.894736842105,73,4.438356164383562,9.794520547945206,0.0547945205479452,73,0.0684931506849315,0.0547452592035195,0.0035276854379936943,0.9598703967468398
kitchen_dining_laundry_garden_furniture,245,245,93,51,278,45925.37,11813.93,57739.3,165.1991726618705,8910.615107913669,274,4.018248175182482,11.795620437956204,0.043795620437956206,274,0.1386861313868613,0.20460812652733926,0.0034146450539674186,0.9632850418008072
books_general_interest,504,498,211,53,545,45502.79,9011.36,54514.15,83.49135779816514,739.5064220183486,537,4.504655493482309,11.548507462686567,0.061567164179104475,536,0.06890130353817504,0.16530313689198126,0.0033832253679223078,0.9666682671687296
construction_tools_lights,243,243,77,36,302,40002.0,7509.18,47511.18,132.4569536423841,3376.3741721854303,301,4.003322259136213,9.67109634551495,0.07308970099667775,301,0.16279069767441862,0.15805079983279727,0.0029742303970290204,0.9696424975657586
construction_tools_safety,165,164,89,34,189,39589.02,3831.57,43420.59,209.46571428571426,808.5132275132275,183,3.9508196721311477,11.857923497267759,0.0273224043715847,183,0.18032786885245902,0.08824315837256012,0.002943524490590216,0.9725860220563488
industry_commerce_and_business,232,230,68,28,264,39310.01,7810.72,47120.73,148.90155303030303,6732.223484848485,261,4.091954022988506,10.596153846153847,0.06538461538461539,260,0.1417624521072797,0.16575974098873256,0.002922779527261506,0.9755088015836103
food,448,443,80,57,508,29163.61,7236.94,36400.55,57.40868110236221,650.1751968503937,498,4.204819277108434,9.487951807228916,0.07028112449799197,498,0.13453815261044177,0.19881402890890382,0.0021683739650292366,0.9776771755486395
market_place,272,271,100,55,297,26982.28,5133.07,32115.350000000002,90.84942760942761,1097.4309764309764,294,4.017006802721088,11.741496598639456,0.03741496598639456,294,0.13945578231292516,0.15983229203480576,0.0020061876245474775,0.979683363173187
costruction_tools_garden,192,189,87,32,234,25552.18,5229.71,30781.89,109.19735042735043,2327.6581196581196,232,4.116379310344827,11.844827586206897,0.05603448275862069,232,0.15517241379310345,0.1698956756716368,0.001899856768820484,0.9815832199420075
art,201,201,54,35,208,24167.64,4028.57,28196.21,116.19057692307692,1557.3413461538462,197,4.060913705583756,11.304568527918782,0.06091370558375635,197,0.14720812182741116,0.1428762943672217,0.0017969133921417538,0.9833801333341492
fashion_shoes,237,235,170,13,259,23322.89,4884.57,28207.46,90.04976833976833,1012.7413127413128,256,4.26171875,15.4140625,0.04296875,256,0.1171875,0.17316589299426463,0.0017341045043888848,0.9851142378385381
drinks,296,291,81,36,378,22378.71,5722.04,28100.75,59.202936507936506,1043.4920634920634,361,4.119113573407202,10.34349030470914,0.0443213296398892,361,0.12465373961218837,0.20362588187148029,0.0016639027930677793,0.986778140631606
signaling_and_security,140,139,93,46,199,21509.23,6507.820000000001,28017.05,108.08658291457286,3886.7236180904524,197,4.081218274111675,10.431472081218274,0.04060913705583756,197,0.1218274111675127,0.23228070050201577,0.0015992551793082475,0.9883773958109142
